content,content_preprocessed,sentimen
Halo min knp ya lama banget nunggu proses premium nya padahal foto KTP sudah jelas katanya 1 hari kerja tapi udah jalan 3 hari belum bisa premium mohon di bantu dan di perbaiki,banget tunggu proses premium foto ktp tapi jalan belum bisa premium bantu baik,NEGATIVE
Gue beli paket data gagal...tpi saldo saya berkurang..pas minta refaun... suruh nunggu tapi gak di proses juga.. Tolong dong di benahi sistem nya,beli paket data gagal saldo kurang pas refaun suruh tunggu tapi tidak proses tolong dong benah sistem,NEGATIVE
"Aplikasi cacat. Hati² guysss aplikasi nya nipu. Belum layak di pakai. Serba kekurangan. Admin nya ngak jelas di @danacare, ngak bakal di respon kita klo nomor hp hilang. Nanti saldo kita pasti di ambil. Klo coba masuk aplikasi pasti di mintain verifikasi sms/wa, pin nya di masukin yg bener dan sudah scan wajah tetap aja di buat nya stackk di verifikasi sms/wa.",cacat hati guys tipu belum layak serba kurang ngak ngak respons nomor handphone hilang saldo ambil coba mintain verifikasi sms whatsapp pin masuk pindai wajah stackk verifikasi sms whatsapp,NEGATIVE
"Untuk pembuatan akun bisnis dan qris relatif mudah dibanding apk lain dan gratis, tapi saldo yang masuk ke rekening bisnis tsb tidak bisa ditarik dengan alasan sedang gangguan coba lagi, namun berhari2 tetap begitu, hubungi cs melalui email responnya lama sekali, live agent pun juga lama. Solusi yang diberikan untuk clear cache dan restart device sudah dilakukan tapi tetap saja begitu. Bner2 mempersulit hidup. Sampai srg sy ga bisa pakai saldo bisnis sy. Yang mau download pikir lagi.",buat akun bisnis qris relatif mudah banding gratis tapi saldo rekening bisnis tsb tidak bisa tarik alas ganggu coba lagi hubung customer service email respons live agent solusi clear cache restart device tapi sulit hidup srg tidak bisa saldo bisnis download pikir lagi,NEGATIVE
Mencoba untuk yg terbaik,coba baik,POSITIVE
Sangat membantu mendadak..,sangat bantu dadak,POSITIVE
Mantappp,mantap,POSITIVE
"Tidak aman,saldo sering kebobolan/di hack",tidak aman saldo sering bobol hack,NEGATIVE
"Saya sengaja kasih bintang 5 agar komenan saya cepat di respon, saya sudah kirim email tapi tanggapan nya kurang memuaskan, dan setalah saya bls email nyaa malah ga di bales sama sekali, per tanggal 15februari2024 sudah saya uninstal apk dana di handphone saya, saldo saya tiba tiba hilang sebesar 400.000 , saya tidak menggunakan apk lazada tapi kenapa tiba tiba ada 2x transaksi lazada , daripada kedepan saldo saya hilang jadi mending uninstal ajaa per hari ini",sengaja kasih bintang komenan cepat respons kirim email tapi tanggap kurang puas seta bls email nyaa tidak bales tanggal uninstal handphone saldo hilang tidak lazada tapi transaksi lazada depan saldo hilang mending uninstal ajaa,NEGATIVE
Sy baru mau mencobanya,coba,NEUTRAL
"Udah boz,tpmasih tetep g bisa,apa sih susahny upgrade.aplikasi yg lain mudah.ini kk sulit banget",boz tpmasih tidak bisa sih susahny upgrade mudah kakak sulit banget,NEGATIVE
"kak maaf ,, saya sudah aktif kan dana bisnis,, tapi knapa ya saldo nya tidak bisa ditarik, padahal ada isi nya 85.000 mhon dibantu ya bpak/ibu",maaf aktif bisnis tapi saldo tidak bisa tarik isi mhon bantu bpak,NEUTRAL
"no sendiri,aplikasi sendri,hp sendiri tp engga bisa masuk ke akun ,disuruh masuk lewat notif tp tidak ada notif as*",nomor sendri handphone tidak bisa akun suruh notif tidak notif as,NEUTRAL
Pan pan pan semakin terdepan ✌️,pan pan pan depan,POSITIVE
bermanfaat sekali,manfaat,POSITIVE
sngt mmbntu buat bli onln,sngt mmbntu beli onln,NEUTRAL
Kok gak bisa masuk ... verifikasi terus kan udh premium masa masukin kode otp LG,kok tidak bisa verifikasi terus premium masuk kode kode otp lagi,NEGATIVE
Susah daftar nya,sulit daftar,NEGATIVE
mantap untuk transaksi uang,mantap transaksi uang,POSITIVE
bagus sekali,bagus,POSITIVE
"Hai kak, ini gimana yah aku ga bisa upgrade dana ku ke premium, udah ku coba berkali² tapi tetep ga bisa malah ""verifikasi gagal karna foto selfie tidak sesuai dengan KTP, padahal udah jelas foto KTP nya foto aku. Tolong segera ditindak lanjuti karna saya butuh segera",tidak bisa upgrade premium coba kali tapi tidak bisa verifikasi gagal foto selfie tidak sesuai ktp foto ktp foto tolong tindak lanjut butuh,NEGATIVE
Ga bisaa loginn,tidak bisaa loginn,NEUTRAL
Tidak dpt d bukak jika d bka kmbli sndri,tidak dpt bukak bka kmbli sndri,NEUTRAL
makasih dana sudah membantu meringankan tugas saya dalam melakukan transaksi ☺️,terima kasih bantu ringan tugas transaksi,NEUTRAL
Hidup jadi lebih mudah,hidup mudah,POSITIVE
Sekarang ada penipuan mengatasnamakan dana. Di tlpon katanya dpet undian. Perlu ditindak itu,tipu mengatasnamakan tlpon dpet undi tindak,NEGATIVE
Mantep,mantep,POSITIVE
membantu...,bantu,POSITIVE
Sangat bngus dana digitalnya,sangat bngus digital,NEGATIVE
Rekomen buat yg ga punya bank,rekomendasi tidak bank,NEUTRAL
"Tiba2 ada Transaksi yg gak gw kenal , sayang sekali keaman dana gampang banget di bobol . . . Jadi g mau isi saldo dan nyimpen duit di dana.",transaksi tidak kenal sayang aman mudah banget bobol tidak isi saldo nyimpen uang,NEGATIVE
Kenapa aplikasi dana tidak bisa di bukak klo aplikasinya dibuka pasti kembali lagi ke layar utama,tidak bisa bukak buka lagi layar utama,NEUTRAL
Aplikasi yang sangat bagus,sangat bagus,POSITIVE
Aplikasi dana...banyak penipuan....dan banyak potongan berlanggan padahal saya tidak pernah ada langganan dan sudah lapor ke pihak costumer care dana tapi tidak ada hasilnya,tipu potong langgan tidak langgan lapor costumer care tapi tidak hasil,NEGATIVE
Mau kirim disuruh upgrade dana premium tulisanya satu hari tapi sudah 2 hari masih dalam proses lebih baik pindah ke aplikasi lain aja,kirim suruh upgrade premium tulisanya tapi masih proses baik pindah,NEUTRAL
prkatis dn sngt mmbantu . jd lbh mudah utk hal apapun,prkatis sngt bantu lbh mudah apa,POSITIVE
mempermudah transaksi,mudah transaksi,POSITIVE
mantapp,mantap,POSITIVE
beli pulsa gampang banget,beli pulsa mudah banget,POSITIVE
bagus choy,bagus choy,POSITIVE
bagus banget,bagus banget,POSITIVE
"Aplikasi ini sangat bermanfaat bagi penggunanya, Aplikasi yg bagus",sangat manfaat guna bagus,POSITIVE
Saya selaku pengguna akun dana ..saya akui saya salah karena ketidakpahaman saya...saya punya akun dana . Dan membuat dana lagi di hp hp yg lain.dengan KTP saya yang sama . Tiba tiba akun dana saya yg lama di bekukan .masih ada saldo nya lagi lumayan .minta di aktifin lagi susah nya minta ampun ..padahal saya udah penuhi syarat..semua sampai verifikasi muka. Kan sudah terbukti bukan penipu tapi masih susah untuk mengaktifkan aplikasi ini bagus tapi penanganan nya lama...,guna akun aku salah ketidakpahaman akun lagi handphone handphone ktp akun beku masih saldo lagi lumayan aktifin lagi sulit ampun penuh syarat verifikasi muka bukti bukan tipu tapi masih sulit aktif bagus tapi tangan,NEGATIVE
sejauh ini Alhamdulillah baik,alhamdulillah baik,POSITIVE
Kak nomer saya sudah hilang dan tidak aktif gimana cara login lainnya ya,nomor hilang tidak aktif,NEUTRAL
Aplikasi dana saya laporan maalah tidak ditanggapi hilang saldo 250 ribu kenapa bisa hilang coba apk dana gak aman gini,lapor maalah tidak tanggap hilang saldo bisa hilang coba tidak aman gin,NEGATIVE
"Kenapa ya udh update ke premium tapi lama banget buat dana bisa di pakai ,transfer juga belum bisa payer belum kyc terus,emang berapa lama nunggu setelah update ke premium?",update premium tapi banget bisa transfer belum bisa payer belum kyc terus emang tunggu update premium,NEGATIVE
Good morning,bagus morning,NEUTRAL
Sudah dua hari saldo e-wallet saya tidak masuk padahal saldo saya sudah berkurang,saldo wallet tidak saldo kurang,NEUTRAL
punya link dana luar biasa tf tanpa kena potongan,link transfer tanpa potong,NEUTRAL
Perbaiki layanan,baik layan,NEGATIVE
Knp sya tdk bisa masuk,tidak bisa,NEUTRAL
Knpa saya tidak bisa verifikasi akun?,tidak bisa verifikasi akun,NEGATIVE
"Tolong dong saya up ke premium dari hari selasa sore sampai hari ini belum di konfirmasi,CS dana juga gabisa di teelfon,diwa juga gabisa(nomernya tidak terdaftar),tolong dong pihak dana nya bagaimana ini kok responnya lama sekali",tolong dong up premium selasa sore belum konfirmasi customer service tidak bisa teelfon diwa tidak bisa nomernya tidak daftar tolong dong kok respons,NEGATIVE
"Saya merasa di rugikan dana,saya ngirim uang ke BRI awal masuk tapi di tarik lagi oleh pihak bank DBS...dan saya tidak tau uang saya entah dimana,,saya minta ajukan pengembalian dana kerna tempat saya dan penerimah beda daerah,,kami tidak dapat memproses gendala salah kirim anda...",rugi kirim uang bri tapi tarik lagi bank dbs tidak uang mana aju kembali kerna penerimah beda daerah tidak proses gendala salah kirim,NEGATIVE
Bagus seperti..... biasa... jgn pake Poto Mulu ah...... malu udah kaya teroris aja.. dipoto terus muka jeleknya.... Poto Mulu... Diganti dong bosss,bagus jangan poto terus ah malu kaya teroris dipoto terus muka jelek poto terus ganti dong bos,NEGATIVE
"uang dari dana ku hilang, dan Cs dana tidak bertanggung jawab",uang hilang customer service tidak tanggung,NEGATIVE
"Tolong ini kenapa dipersulit mau upgrade ke premium Otomatis jadi tidak bisa saya gunakan untuk transaksi, karena nunggu lama prosesnya",tolong sulit upgrade premium otomatis tidak bisa transaksi tunggu proses,NEGATIVE
lambatt melalukan transfer,lambatt lalu transfer,NEUTRAL
Terima aksih,terima aksih,POSITIVE
mempermudah segalanya ☺makasih dana,mudah terima kasih,POSITIVE
di ss GK boleh kenapa ni....repot,ss tidak repot,NEGATIVE
Saya nyaman aman cepat dan puas,nyaman aman cepat puas,POSITIVE
Baik,baik,POSITIVE
sangat mudah,sangat mudah,POSITIVE
sangat suka dengan aplikasi,sangat suka,POSITIVE
"Aplikasi paling g jelas call center susah banget di hubungi dana digital sama aja,bolak balik dm ig sama aja",tidak pusat bantu sulit banget hubung digital bolak pesan ig,NEGATIVE
Kok gx bisa masuk2 sih kak,kok tidak bisa sih,NEGATIVE
Pingin coba apakah amanah,pingin coba amanah,POSITIVE
"akun saya di proteksi dengan tiba tiba dan sudah saya coba dengan segala macam cara menghubungi customer servise tetap aja gada jawaban,pas posisi lagi butuh banget uang nya ada 2juta tiba tiba aju. di proteksi ,gada jalan keluar sama sekali ini dana",akun proteksi coba hubung customer servise gada pas posisi lagi butuh banget uang aju proteksi gada jalan,NEGATIVE
sangat Membatu sekali..,sangat batu,POSITIVE
Puaaaasss,puas,POSITIVE
keren mantapp,keren mantap,POSITIVE
"Kenapa hari ini masuk/log in via perivikasi wajah di non aktifkan ,mohon diaktifkan kembali",via perivikasi wajah non aktif aktif,NEUTRAL
saya tidak bisa masuk dana,tidak bisa,NEGATIVE
Saya kaga bisa masuk,tidak bisa,NEUTRAL
Tap aplikasi ini,tap,NEUTRAL
Mohon bantuannya kepada pikah dana. Dalam masalah saldo saya hilang. Dan sdh melapor dan membuat kronologis nya ke jadian nya. knp tiada ada respon dan balasan dari pihak dana saldo saya blm juga kembali,bantu pikah saldo hilang lapor kronologis jadi tiada respons balas saldo belum,NEUTRAL
tambah kan fitur Sidik jari biar lebih aman lagi saat buka aplikasi dan transaksi,fitur sidik jari aman lagi buka transaksi,NEUTRAL
Sangat membantu,sangat bantu,POSITIVE
selalu upgref,selalu upgref,POSITIVE
TERJADI LAGI UDAH 3X YG PERTAMA 450K KE DUA 2.4K YANG KE TIGA 1.3K NYANGKUT SEMUA INI NIAT BIKIN APLIKASI GAK SIE .. LAPOR CHAT DI BALAS ROBOT TELP COSTUMERS SERVICE JAWABAN NYA BLUNDER LAPOR VIA GMIAL G DI RESPON UINSTAL AJA DAH RUGI BANGTS INSTAL INI APLIKASI,lagi tahan niat bikin tidak sie lapor chat balas robot telepon costumers service blunder lapor via gmial tidak respons uinstal rugi bangts instal,NEUTRAL
proses upgrad dana premium kelamaan jadi gak bisa kirim,proses upgrad premium tidak bisa kirim,NEGATIVE
Sangat bagus dan aman,sangat bagus aman,POSITIVE
Dana top up saya kok ngga masuk²!?,isi saldo kok tidak,NEGATIVE
"Kok gk bisa isi saldo ya, trus susah sekali utk berubah ke premium karna saya ganti no, sudah di chat admin juga gda kejelasan caranya sudah dicoba. Ini mau isi saldo di klik berapa kali gk bisa"" gimana ya ini",kok tidak bisa isi saldo terus sulit ubah premium ganti nomor chat tidak jelas coba isi saldo klik tidak bisa,NEGATIVE
Mau beli paket data udah 3x topup ga mau masuk saldo tetep aja gmn mau maju dana Cek riwayat juga sama. Eror gmana gw butuh duit,beli paket data isi saldo tidak saldo maju cek riwayat error gmana butuh uang,NEGATIVE
Sungguh bagus,sungguh bagus,POSITIVE
Sangat mudah di gunakan sangat mudah di mengerti dan sangat membantu masalah transaksi keuangan tanpa ribet,sangat mudah sangat mudah erti sangat bantu transaksi uang tanpa rumit,POSITIVE
"Nyesel up ke premium, mw login malah gagal, loginnya dipersulit ngent",nyesel up premium mw gagal loginnya sulit ngent,NEGATIVE
"Saya tidak tau siapa yg lapor akun dana saya bilang akun saya sbagai penipu sehingga dana saya tidak bisa di aktifkan kembali Seementara saya terakhir hanya melakukan top up dana di Alfamart Saya tidak mengetahui Untuk yg melaporkan saya sebagai penipu, jika berkenan tolong kirim kan data nama dan no tlp yg melaporkan saya, Malah balasn email saya di cs dana seperti itu Jika tidak ada itikad baik dari pihak dana saya akan lapor dan langsung ke kantor pusat di Jakarta",tidak lapor akun bilang akun sbagai tipu tidak bisa aktif seementara isi saldo alfamart tidak lapor tipu kenan tolong kirim data nama nomor telepon lapor balasn email customer service tidak itikad baik lapor kantor pusat jakarta,NEGATIVE
praktis,praktis,NEGATIVE
Kenapa sekarang harus ada minimal saldonya kalo mau narik yaa? Saldo saya sisa 50.000 pas mau ditarik gak bisa dan ada pemberitahuan kalau minim saldo 53K padahal yang dulu² bisa dan memudahkan banget (saya udh pake ±2 tahun). Kecewa berat sihh udah gitu makin kesini loadingnya suka lamaaaa banget padahal signal full batang😌,minimal saldo narik yaa saldo sisa pas tarik tidak bisa pemberitahuan minim saldo bisa mudah banget kecewa berat sihh kesini muat suka banget signal full batang,NEGATIVE
Ok banget,oke banget,POSITIVE
Ga bisa login maupun daftar device android...!!!,tidak bisa daftar device android,NEUTRAL
sangat bagus sekali,sangat bagus,POSITIVE
"Apk Bngst.. Saldo dana gue tiba2 hilang,mana minta masukin vertifikasi wajah mulu.Terus jngan nato uang gede2 nanti ilang.",bngst saldo hilang masuk vertifikasi wajah terus terus jangan nato uang hilang,NEGATIVE
Ah tolol gak bisa login otp gk di kasin Sudah jelas mau login malah lihat di pesan peripikasi nya Mau peripikasi nya gimana coba baru aja mau login,ah tolol tidak bisa kode otp tidak kasin pesan peripikasi peripikasi coba,NEUTRAL
good banget,bagus banget,NEGATIVE
LEMOT APK !!!!,lambat,POSITIVE
"Dana sekarang makin ribet, makin gajelas.",rumit tidak,NEGATIVE
Sangat membantu..tapi sayang harus dngan sinyal yg full baru bisa kebuka.sdangkan kita g selalu ada dtmpat yg jaringannya stabil,sangat bantu tapi sayang dngan sinyal full bisa buka sdangkan tidak selalu dtmpat jaring stabil,POSITIVE
"saya kirim shoopepay lewat e wallet dana nomor nya sudah benar nama nya pun benar transaksi sudah berhasil tapi belum sampai ke nomor tujuan di suruh tunggu 2 hari gila aja kalau uang nya ga balik lagi , mana uang hasil cape semalaman tega banget dana nipu hati hati deh buat yang lain nya",kirim shoopepay wallet nomor nama transaksi hasil tapi belum nomor tuju suruh tunggu gila uang tidak lagi uang hasil cape malam tega banget tipu hati hati deh,NEGATIVE
"setiap buka aplikasi nya lemot terus heran kenapa ga kaya dulu, di update bukanya makin bagus malah makin ancur padahal walle² yg lan bagus² aja pada cepet di bukanya ga deley tolong pihak developer perbaiki agar konsumen tidak kecewa",buka lambat terus heran tidak kaya update buka bagus ancur walle lan bagus cepat buka tidak deley tolong developer baik konsumen tidak kecewa,NEGATIVE
memudahkan,mudah,POSITIVE
sangat membantu sekalih,sangat bantu kalih,POSITIVE
Terjadi kendala saat ingin login,kendala,NEGATIVE
puas pakek aplikasi dana,puas pakek,NEUTRAL
cara masuk akun dana tampa no otp,akun tampa nomor kode otp,NEUTRAL
"Lama betul proses premium nya , infonya di suruh tunggu 1 hari kerja ,ini sudah lebih 1 hari blm juga selesai",proses premium info suruh tunggu belum selesai,NEUTRAL
Sangat menyenang kan,sangat senang,POSITIVE
Gimana sih pihak dana refund saldo gak balik balik sampai sekarang udah hampir satu bulan customers servisnya juga gak jelas gak ada penyelesaianya Udah jangan pakai apk ini lagi di gak bisa nyelsain masalah,sih refund saldo tidak customers servis tidak tidak penyelesaianya jangan lagi tidak bisa nyelsain,NEGATIVE
Aplikasi nya bagus,bagus,POSITIVE
"Haloo dana, sy punya saldo tpi tdk bsa melakukan transaksi karena terhalang dana belum premium, saya mau daftar premium ktp saya sudah pernah di gunakan, dan nomor tlp yg lama sudah hilang. Bagaimana solusi nya agar saldo saya bisa saya tarik ?",haloo saldo tidak bisa transaksi halang belum premium daftar premium ktp nomor telepon hilang solusi saldo bisa tarik,NEUTRAL
"Maaf admin,,, kmren aplikasi dana saya hapus,trs sya download lagi tp kok gak bisa masuk akun saya lagi ya??? Mohon bantuan nya,,",maaf kmren hapus terus download lagi kok tidak bisa akun lagi bantu,NEUTRAL
Sangat memuaskan,sangat puas,POSITIVE
Aku kasih 3 bintang di karena kan semakin di update semakin nggak jelas dana,kasih bintang update tidak,NEUTRAL
ok gaass,oke gaass,NEGATIVE
Apk tolol,tolol,NEGATIVE
sangat baik...,sangat baik,POSITIVE
"Dana suka delay Klo transfer,harus nunggu 1 x 24 jam,mana mau top up atau isi pulsa susah sering gagal,nyusahin GK efektif,perbaiki,di notifikasi udh berhasil tapi ternyata blm masuk,jadi saldo nya tidak jelas kemana, harus nunggu,terus ujung2nya gagal,transfer gagal,diterima gagal,saldo gaib",suka delay transfer tunggu jam isi saldo isi pulsa sulit sering gagal nyusahin tidak efektif baik notifikasi hasil tapi belum saldo tidak mana tunggu terus gagal transfer gagal terima gagal saldo gaib,NEGATIVE
