content,content_clean,sentimen
Gue beli paket data gagal...tpi saldo saya berkurang..pas minta refaun... suruh nunggu tapi gak di proses juga.. Tolong dong di benahi sistem nya,beli paket data gagal tpi saldo kurang pas refaun suruh nunggu tidak proses tolong benah sistem,NEGATIVE
"Aplikasi cacat. Hati² guysss aplikasi nya nipu. Belum layak di pakai. Serba kekurangan. Admin nya ngak jelas di @danacare, ngak bakal di respon kita klo nomor hp hilang. Nanti saldo kita pasti di ambil. Klo coba masuk aplikasi pasti di mintain verifikasi sms/wa, pin nya di masukin yg bener dan sudah scan wajah tetap aja di buat nya stackk di verifikasi sms/wa.",cacat hati guysss nipu belum layak pakai serba kurang admin ngak ngak respon klo nomor hp hilang saldo ambil klo coba masuk mintain verifikasi sms wa pin masukin bener scan wajah stackk verifikasi sms wa,NEGATIVE
"Untuk pembuatan akun bisnis dan qris relatif mudah dibanding apk lain dan gratis, tapi saldo yang masuk ke rekening bisnis tsb tidak bisa ditarik dengan alasan sedang gangguan coba lagi, namun berhari2 tetap begitu, hubungi cs melalui email responnya lama sekali, live agent pun juga lama. Solusi yang diberikan untuk clear cache dan restart device sudah dilakukan tapi tetap saja begitu. Bner2 mempersulit hidup. Sampai srg sy ga bisa pakai saldo bisnis sy. Yang mau download pikir lagi.",buat akun bisnis qris relatif mudah banding gratis saldo masuk rekening bisnis tsb tidak tarik alas ganggu coba hari hubung customer service email responnya live agent solusi clear cache restart device bner sulit hidup srg sy tidak pakai saldo bisnis sy download pikir,NEGATIVE
Mencoba untuk yg terbaik,coba baik,POSITIVE
Sangat membantu mendadak..,bantu dadak,POSITIVE
Mantappp,mantappp,POSITIVE
"Tidak aman,saldo sering kebobolan/di hack",tidak aman saldo bobol hack,NEGATIVE
"Saya sengaja kasih bintang 5 agar komenan saya cepat di respon, saya sudah kirim email tapi tanggapan nya kurang memuaskan, dan setalah saya bls email nyaa malah ga di bales sama sekali, per tanggal 15februari2024 sudah saya uninstal apk dana di handphone saya, saldo saya tiba tiba hilang sebesar 400.000 , saya tidak menggunakan apk lazada tapi kenapa tiba tiba ada 2x transaksi lazada , daripada kedepan saldo saya hilang jadi mending uninstal ajaa per hari ini",sengaja kasih bintang komenan cepat respon kirim email tanggap kurang muas seta bls email nyaa tidak bales tanggal februari uninstal handphone saldo hilang tidak lazada transaksi lazada depan saldo hilang mending uninstal ajaa,NEGATIVE
Sy baru mau mencobanya,sy coba,NEUTRAL
"Udah boz,tpmasih tetep g bisa,apa sih susahny upgrade.aplikasi yg lain mudah.ini kk sulit banget",boz tpmasih tetep susahny upgrade mudah kk sulit banget,NEGATIVE
"kak maaf ,, saya sudah aktif kan dana bisnis,, tapi knapa ya saldo nya tidak bisa ditarik, padahal ada isi nya 85.000 mhon dibantu ya bpak/ibu",maaf aktif bisnis knapa saldo tidak tarik isi mhon bantu bpak,NEUTRAL
"no sendiri,aplikasi sendri,hp sendiri tp engga bisa masuk ke akun ,disuruh masuk lewat notif tp tidak ada notif as*",no sendri hp tp engga masuk akun suruh masuk notif tp tidak notif as,NEUTRAL
Pan pan pan semakin terdepan ✌️,pan pan pan depan,POSITIVE
bermanfaat sekali,manfaat,POSITIVE
sngt mmbntu buat bli onln,sngt mmbntu bli onln,NEUTRAL
Kok gak bisa masuk ... verifikasi terus kan udh premium masa masukin kode otp LG,tidak masuk verifikasi premium masukin kode otp lg,NEGATIVE
Susah daftar nya,susah daftar,NEGATIVE
mantap untuk transaksi uang,mantap transaksi uang,POSITIVE
bagus sekali,bagus,POSITIVE
"Hai kak, ini gimana yah aku ga bisa upgrade dana ku ke premium, udah ku coba berkali² tapi tetep ga bisa malah ""verifikasi gagal karna foto selfie tidak sesuai dengan KTP, padahal udah jelas foto KTP nya foto aku. Tolong segera ditindak lanjuti karna saya butuh segera",hai yah tidak upgrade ku premium ku coba kali tetep tidak verifikasi gagal foto selfie tidak sesuai ktp foto ktp foto tolong tindak lanjut butuh,NEGATIVE
Ga bisaa loginn,tidak bisaa loginn,NEUTRAL
Tidak dpt d bukak jika d bka kmbli sndri,tidak dpt bukak bka kmbli sndri,NEUTRAL
makasih dana sudah membantu meringankan tugas saya dalam melakukan transaksi ☺️,makasih bantu ringan tugas transaksi,NEUTRAL
Hidup jadi lebih mudah,hidup mudah,POSITIVE
Sekarang ada penipuan mengatasnamakan dana. Di tlpon katanya dpet undian. Perlu ditindak itu,tipu mengatasnamakan tlpon dpet undi tindak,NEGATIVE
Mantep,mantep,POSITIVE
membantu...,bantu,POSITIVE
Sangat bngus dana digitalnya,bngus digital,NEGATIVE
Rekomen buat yg ga punya bank,rekomen tidak bank,NEUTRAL
"Tiba2 ada Transaksi yg gak gw kenal , sayang sekali keaman dana gampang banget di bobol . . . Jadi g mau isi saldo dan nyimpen duit di dana.",transaksi tidak gw kenal sayang aman gampang banget bobol isi saldo nyimpen uang,NEGATIVE
Kenapa aplikasi dana tidak bisa di bukak klo aplikasinya dibuka pasti kembali lagi ke layar utama,tidak bukak klo aplikasi buka layar utama,NEUTRAL
Aplikasi yang sangat bagus,bagus,POSITIVE
Aplikasi dana...banyak penipuan....dan banyak potongan berlanggan padahal saya tidak pernah ada langganan dan sudah lapor ke pihak costumer care dana tapi tidak ada hasilnya,tipu potong langgan tidak langgan lapor costumer care tidak hasil,NEGATIVE
Mau kirim disuruh upgrade dana premium tulisanya satu hari tapi sudah 2 hari masih dalam proses lebih baik pindah ke aplikasi lain aja,kirim suruh upgrade premium tulisanya proses pindah,NEUTRAL
prkatis dn sngt mmbantu . jd lbh mudah utk hal apapun,prkatis dn sngt mmbantu lbh mudah utk apa,POSITIVE
mempermudah transaksi,mudah transaksi,POSITIVE
Knapa,knapa,NEGATIVE
beli pulsa gampang banget,beli pulsa gampang banget,POSITIVE
bagus choy,bagus choy,POSITIVE
bagus banget,bagus banget,POSITIVE
"Aplikasi ini sangat bermanfaat bagi penggunanya, Aplikasi yg bagus",manfaat guna bagus,POSITIVE
Saya selaku pengguna akun dana ..saya akui saya salah karena ketidakpahaman saya...saya punya akun dana . Dan membuat dana lagi di hp hp yg lain.dengan KTP saya yang sama . Tiba tiba akun dana saya yg lama di bekukan .masih ada saldo nya lagi lumayan .minta di aktifin lagi susah nya minta ampun ..padahal saya udah penuhi syarat..semua sampai verifikasi muka. Kan sudah terbukti bukan penipu tapi masih susah untuk mengaktifkan aplikasi ini bagus tapi penanganan nya lama...,guna akun aku salah ketidakpahaman akun hp hp ktp akun beku saldo lumayan aktifin susah ampun penuh syarat verifikasi muka bukti bukan tipu susah aktif bagus tangan,NEGATIVE
sejauh ini Alhamdulillah baik,alhamdulillah,POSITIVE
Kak nomer saya sudah hilang dan tidak aktif gimana cara login lainnya ya,nomer hilang tidak aktif login,NEUTRAL
Aplikasi dana saya laporan maalah tidak ditanggapi hilang saldo 250 ribu kenapa bisa hilang coba apk dana gak aman gini,lapor maalah tidak tanggap hilang saldo ribu hilang coba tidak aman gin,NEGATIVE
"Kenapa ya udh update ke premium tapi lama banget buat dana bisa di pakai ,transfer juga belum bisa payer belum kyc terus,emang berapa lama nunggu setelah update ke premium?",update premium banget pakai transfer belum payer belum kyc emang nunggu update premium,NEGATIVE
Good morning,good morning,NEUTRAL
Sudah dua hari saldo e-wallet saya tidak masuk padahal saldo saya sudah berkurang,saldo wallet tidak masuk saldo kurang,NEUTRAL
punya link dana luar biasa tf tanpa kena potongan,link transfer kena potong,NEUTRAL
Perbaiki layanan,baik layan,NEGATIVE
Knp sya tdk bisa masuk,knp sya tidak masuk,NEUTRAL
Knpa saya tidak bisa verifikasi akun?,knpa tidak verifikasi akun,NEGATIVE
"Tolong dong saya up ke premium dari hari selasa sore sampai hari ini belum di konfirmasi,CS dana juga gabisa di teelfon,diwa juga gabisa(nomernya tidak terdaftar),tolong dong pihak dana nya bagaimana ini kok responnya lama sekali",tolong up premium selasa sore belum konfirmasi customer service tidak teelfon diwa tidak nomernya tidak daftar tolong responnya,NEGATIVE
"Saya merasa di rugikan dana,saya ngirim uang ke BRI awal masuk tapi di tarik lagi oleh pihak bank DBS...dan saya tidak tau uang saya entah dimana,,saya minta ajukan pengembalian dana kerna tempat saya dan penerimah beda daerah,,kami tidak dapat memproses gendala salah kirim anda...",rugi ngirim uang bri masuk tarik bank dbs tidak tau uang mana aju kembali kerna penerimah beda daerah tidak proses gendala salah kirim,NEGATIVE
Bagus seperti..... biasa... jgn pake Poto Mulu ah...... malu udah kaya teroris aja.. dipoto terus muka jeleknya.... Poto Mulu... Diganti dong bosss,bagus jgn pakai poto ah malu kaya teroris dipoto muka jelek poto ganti bosss,NEGATIVE
"uang dari dana ku hilang, dan Cs dana tidak bertanggung jawab",uang ku hilang customer service tidak tanggung,NEGATIVE
"Tolong ini kenapa dipersulit mau upgrade ke premium Otomatis jadi tidak bisa saya gunakan untuk transaksi, karena nunggu lama prosesnya",tolong sulit upgrade premium otomatis tidak transaksi nunggu proses,NEGATIVE
lambatt melalukan transfer,lambatt lalu transfer,NEUTRAL
Terima aksih,terima aksih,POSITIVE
mempermudah segalanya ☺makasih dana,mudah makasih,POSITIVE
di ss GK boleh kenapa ni....repot,ss tidak ni repot,NEGATIVE
Saya nyaman aman cepat dan puas,nyaman aman cepat puas,POSITIVE
enak,enak,POSITIVE
sangat mudah,mudah,POSITIVE
sangat suka dengan aplikasi,suka,POSITIVE
"Aplikasi paling g jelas call center susah banget di hubungi dana digital sama aja,bolak balik dm ig sama aja",call center susah banget hubung digital bolak dm ig,NEGATIVE
Kok gx bisa masuk2 sih kak,gx masuk,NEGATIVE
Pingin coba apakah amanah,pingin coba amanah,POSITIVE
"akun saya di proteksi dengan tiba tiba dan sudah saya coba dengan segala macam cara menghubungi customer servise tetap aja gada jawaban,pas posisi lagi butuh banget uang nya ada 2juta tiba tiba aju. di proteksi ,gada jalan keluar sama sekali ini dana",akun proteksi coba hubung customer servise gada pas posisi butuh banget uang juta aju proteksi gada jalan,NEGATIVE
sangat Membatu sekali..,batu,POSITIVE
Puaaaasss,puaaaasss,POSITIVE
keren mantapp,keren mantapp,POSITIVE
"Kenapa hari ini masuk/log in via perivikasi wajah di non aktifkan ,mohon diaktifkan kembali",masuk log in via perivikasi wajah non aktif mohon aktif,NEUTRAL
saya tidak bisa masuk dana,tidak masuk,NEGATIVE
Saya kaga bisa masuk,tidak masuk,NEUTRAL
Tap aplikasi ini,tap,NEUTRAL
Mohon bantuannya kepada pikah dana. Dalam masalah saldo saya hilang. Dan sdh melapor dan membuat kronologis nya ke jadian nya. knp tiada ada respon dan balasan dari pihak dana saldo saya blm juga kembali,mohon bantu pikah saldo hilang lapor kronologis jadi knp tiada respon balas saldo belum,NEUTRAL
tambah kan fitur Sidik jari biar lebih aman lagi saat buka aplikasi dan transaksi,fitur sidik jari biar aman buka transaksi,NEUTRAL
selalu upgref,upgref,POSITIVE
TERJADI LAGI UDAH 3X YG PERTAMA 450K KE DUA 2.4K YANG KE TIGA 1.3K NYANGKUT SEMUA INI NIAT BIKIN APLIKASI GAK SIE .. LAPOR CHAT DI BALAS ROBOT TELP COSTUMERS SERVICE JAWABAN NYA BLUNDER LAPOR VIA GMIAL G DI RESPON UINSTAL AJA DAH RUGI BANGTS INSTAL INI APLIKASI,nyangkut niat bikin tidak sie lapor chat balas robot telp costumers service blunder lapor via gmial respon uinstal dah rugi bangts instal,NEUTRAL
proses upgrad dana premium kelamaan jadi gak bisa kirim,proses upgrad premium tidak kirim,NEGATIVE
Sangat bagus dan aman,bagus aman,POSITIVE
Dana top up saya kok ngga masuk²!?,top up ngga masuk,NEGATIVE
"Kok gk bisa isi saldo ya, trus susah sekali utk berubah ke premium karna saya ganti no, sudah di chat admin juga gda kejelasan caranya sudah dicoba. Ini mau isi saldo di klik berapa kali gk bisa"" gimana ya ini",tidak isi saldo trus susah utk ubah premium ganti no chat admin gda jelas coba isi saldo klik kali tidak,NEGATIVE
Mau beli paket data udah 3x topup ga mau masuk saldo tetep aja gmn mau maju dana Cek riwayat juga sama. Eror gmana gw butuh duit,beli paket data topup tidak masuk saldo tetep gmn maju cek riwayat error gmana gw butuh uang,NEGATIVE
Sungguh bagus,sungguh bagus,POSITIVE
Sangat mudah di gunakan sangat mudah di mengerti dan sangat membantu masalah transaksi keuangan tanpa ribet,mudah mudah erti bantu transaksi uang ribet,POSITIVE
"Nyesel up ke premium, mw login malah gagal, loginnya dipersulit ngent",nyesel up premium mw login gagal loginnya sulit ngent,NEGATIVE
"Saya tidak tau siapa yg lapor akun dana saya bilang akun saya sbagai penipu sehingga dana saya tidak bisa di aktifkan kembali Seementara saya terakhir hanya melakukan top up dana di Alfamart Saya tidak mengetahui Untuk yg melaporkan saya sebagai penipu, jika berkenan tolong kirim kan data nama dan no tlp yg melaporkan saya, Malah balasn email saya di cs dana seperti itu Jika tidak ada itikad baik dari pihak dana saya akan lapor dan langsung ke kantor pusat di Jakarta",tidak tau lapor akun bilang akun sbagai tipu tidak aktif seementara top up alfamart tidak lapor tipu kenan tolong kirim data nama no tlp lapor balasn email customer service tidak itikad lapor langsung kantor pusat jakarta,NEGATIVE
praktis,praktis,NEGATIVE
Kenapa sekarang harus ada minimal saldonya kalo mau narik yaa? Saldo saya sisa 50.000 pas mau ditarik gak bisa dan ada pemberitahuan kalau minim saldo 53K padahal yang dulu² bisa dan memudahkan banget (saya udh pake ±2 tahun). Kecewa berat sihh udah gitu makin kesini loadingnya suka lamaaaa banget padahal signal full batang😌,minimal saldo kalo narik yaa saldo sisa pas tarik tidak pemberitahuan minim saldo mudah banget pakai kecewa berat sihh gitu kesini loadingnya suka lamaaaa banget signal full batang,NEGATIVE
Ok banget,ok banget,POSITIVE
Ga bisa login maupun daftar device android...!!!,tidak login daftar device android,NEUTRAL
sangat bagus sekali,bagus,POSITIVE
"Apk Bngst.. Saldo dana gue tiba2 hilang,mana minta masukin vertifikasi wajah mulu.Terus jngan nato uang gede2 nanti ilang.",bngst saldo hilang masukin vertifikasi wajah jngan nato uang gede ilang,NEGATIVE
Ah tolol gak bisa login otp gk di kasin Sudah jelas mau login malah lihat di pesan peripikasi nya Mau peripikasi nya gimana coba baru aja mau login,ah tolol tidak login otp tidak kasin login lihat pesan peripikasi peripikasi coba login,NEUTRAL
good banget,good banget,NEGATIVE
LEMOT APK !!!!,lambat,POSITIVE
"Dana sekarang makin ribet, makin gajelas.",ribet tidak,NEGATIVE
Sangat membantu..tapi sayang harus dngan sinyal yg full baru bisa kebuka.sdangkan kita g selalu ada dtmpat yg jaringannya stabil,bantu sayang dngan sinyal full buka sdangkan dtmpat jaring stabil,POSITIVE
"saya kirim shoopepay lewat e wallet dana nomor nya sudah benar nama nya pun benar transaksi sudah berhasil tapi belum sampai ke nomor tujuan di suruh tunggu 2 hari gila aja kalau uang nya ga balik lagi , mana uang hasil cape semalaman tega banget dana nipu hati hati deh buat yang lain nya",kirim shoopepay wallet nomor nama transaksi hasil belum nomor tuju suruh tunggu gila uang tidak uang hasil cape malam tega banget nipu hati hati,NEGATIVE
"setiap buka aplikasi nya lemot terus heran kenapa ga kaya dulu, di update bukanya makin bagus malah makin ancur padahal walle² yg lan bagus² aja pada cepet di bukanya ga deley tolong pihak developer perbaiki agar konsumen tidak kecewa",buka lambat heran tidak kaya update buka bagus ancur walle lan bagus cepet buka tidak deley tolong developer baik konsumen tidak kecewa,NEGATIVE
memudahkan,mudah,POSITIVE
sangat membantu sekalih,bantu kalih,POSITIVE
Terjadi kendala saat ingin login,kendala login,NEGATIVE
puas pakek aplikasi dana,puas pakek,NEUTRAL
cara masuk akun dana tampa no otp,masuk akun tampa no otp,NEUTRAL
"Lama betul proses premium nya , infonya di suruh tunggu 1 hari kerja ,ini sudah lebih 1 hari blm juga selesai",proses premium info suruh tunggu kerja belum selesai,NEUTRAL
Sangat menyenang kan,senang,POSITIVE
Gimana sih pihak dana refund saldo gak balik balik sampai sekarang udah hampir satu bulan customers servisnya juga gak jelas gak ada penyelesaianya Udah jangan pakai apk ini lagi di gak bisa nyelsain masalah,refund saldo tidak customers servis tidak tidak penyelesaianya jangan pakai tidak nyelsain,NEGATIVE
Aplikasi nya bagus,bagus,POSITIVE
"Haloo dana, sy punya saldo tpi tdk bsa melakukan transaksi karena terhalang dana belum premium, saya mau daftar premium ktp saya sudah pernah di gunakan, dan nomor tlp yg lama sudah hilang. Bagaimana solusi nya agar saldo saya bisa saya tarik ?",haloo sy saldo tpi tidak bsa transaksi halang belum premium daftar premium ktp nomor tlp hilang solusi saldo tarik,NEUTRAL
"Maaf admin,,, kmren aplikasi dana saya hapus,trs sya download lagi tp kok gak bisa masuk akun saya lagi ya??? Mohon bantuan nya,,",maaf admin kmren hapus trs sya download tp tidak masuk akun mohon bantu,NEUTRAL
Aku kasih 3 bintang di karena kan semakin di update semakin nggak jelas dana,kasih bintang update tidak,NEUTRAL
ok gaass,ok gaass,NEGATIVE
Apk tolol,tolol,NEGATIVE
"Dana suka delay Klo transfer,harus nunggu 1 x 24 jam,mana mau top up atau isi pulsa susah sering gagal,nyusahin GK efektif,perbaiki,di notifikasi udh berhasil tapi ternyata blm masuk,jadi saldo nya tidak jelas kemana, harus nunggu,terus ujung2nya gagal,transfer gagal,diterima gagal,saldo gaib",suka delay klo transfer nunggu jam top up isi pulsa susah gagal nyusahin tidak efektif baik notifikasi hasil belum masuk saldo tidak mana nunggu ujung gagal transfer gagal terima gagal saldo gaib,NEGATIVE
Aman 100%.,aman,POSITIVE
Knapa aku suda masuk premium sekarang susah lg masuk nya,knapa suda masuk premium susah lg masuk,NEGATIVE
Akun dana eror,akun error,NEUTRAL
"Saya senang banget pake dana,TPI saya skrng kecwa ditmbhi komen para pengguna,saya kira adanya dana protec uang saya yg hlng bsa kmbli.. pdhal pas akun saya ga bsa dibuka saya berusaha loh utk menghubungi customer cuma lambat akhr nya saya hrus kehlngan saldo yg bagi saya ckup bnyak sekitar 2,4 jt",senang banget pakai tpi skrng kecwa ditmbhi komen guna protec uang hlng bsa kmbli pdhal pas akun tidak bsa buka usaha utk hubung customer lambat akhr hrus kehlngan saldo ckup bnyak jt,POSITIVE
